Date,School,Opponent
11/13/2015,Abilene Christian,University of the Southwest
11/13/2015,Alabama,Kennesaw State
11/13/2015,Arizona,Pacific
11/13/2015,Arizona State,Sacramento State
11/13/2015,Arkansas,Southern
11/13/2015,Army,Ferrum
11/13/2015,Auburn,Alabama-Birmingham
11/13/2015,Baylor,Stephen F. Austin
11/13/2015,Bethune-Cookman,Trinity (FL)
11/13/2015,Boston University,Northeastern
11/13/2015,Bradley,Ball State
11/13/2015,Brigham Young,Utah Valley
11/13/2015,Bucknell,Shenandoah
11/13/2015,Buffalo,Pittsburgh-Bradford
11/13/2015,University of California,Rice
11/13/2015,UC-Davis,North Dakota State
11/13/2015,UC-Irvine,UC-San Diego
11/13/2015,Campbell,Montreat
11/13/2015,Central Connecticut State,Hartford
11/13/2015,Central Michigan,Jacksonville State
11/13/2015,Charlotte,Elon
11/13/2015,Chicago State,Illinois Tech
11/13/2015,Cincinnati,Western Carolina
11/13/2015,Clemson,North Carolina Central
11/13/2015,College of Charleston,South Carolina State
11/13/2015,Columbia,Kean
11/13/2015,Connecticut,Maine
11/13/2015,Dayton,Southeast Missouri State
11/13/2015,Delaware State,Delaware
11/13/2015,Drake,Simpson
11/13/2015,Duke,Siena
11/13/2015,Duquesne,Seton Hill
11/13/2015,East Carolina,Grambling
11/13/2015,Eastern Kentucky,Coppin State
11/13/2015,Eastern Michigan,Vermont
11/13/2015,Florida A&M,Johnson University
11/13/2015,Florida International,Trinity Baptist
11/13/2015,Fresno State,Pepperdine
11/13/2015,Furman,Presbyterian
11/13/2015,George Mason,Colgate
11/13/2015,George Washington,Lafayette
11/13/2015,Georgia,Chattanooga
11/13/2015,Georgia Southern,Webber
11/13/2015,Georgia State,Middle Georgia State
11/13/2015,Georgia Tech,Cornell
11/13/2015,Grand Canyon,Portland State
11/13/2015,Harvard,Massachusetts Institute of Technology
11/13/2015,Hawaii,Montana State
11/13/2015,Hofstra,Canisius
11/13/2015,Idaho State,Great Falls
11/13/2015,Illinois,North Florida
11/13/2015,Illinois-Chicago,San Francisco
11/13/2015,Incarnate Word,Texas Lutheran
11/13/2015,Indiana,Eastern Illinois
11/13/2015,Indiana State,IUPUI
11/13/2015,Iowa,Gardner-Webb
11/13/2015,Kansas,Northern Colorado
11/13/2015,Kansas State,Maryland-Eastern Shore
11/13/2015,Kentucky,Albany (NY)
11/13/2015,Lamar,Austin College
11/13/2015,Liberty,Covenant
11/13/2015,Longwood,Randolph
11/13/2015,Louisiana-Lafayette,Louisiana College
11/13/2015,Louisiana-Monroe,McMurry
11/13/2015,Louisiana State,McNeese State
11/13/2015,Louisiana Tech,Millsaps
11/13/2015,Louisville,Samford
11/13/2015,Loyola (IL),Texas-San Antonio
11/13/2015,Loyola Marymount,Cal State Fullerton
11/13/2015,Loyola (MD),Tennessee State
11/13/2015,Marist,Holy Cross
11/13/2015,Marquette,Belmont
11/13/2015,Maryland,Mount St. Mary's
11/13/2015,Mercer,Allen
11/13/2015,Miami (FL),Texas-Rio Grande Valley
11/13/2015,Michigan,Northern Michigan
11/13/2015,Michigan State,Florida Atlantic
11/13/2015,Minnesota,Missouri-Kansas City
11/13/2015,Mississippi,Northwestern State
11/13/2015,Mississippi State,Eastern Washington
11/13/2015,Missouri,Wofford
11/13/2015,Montana,Boise State
11/13/2015,Morehead State,Cincinnati Christian
11/13/2015,Murray State,Harris-Stowe
11/13/2015,Navy,Florida
11/13/2015,Nebraska-Omaha,UC-Santa Barbara
11/13/2015,Nevada-Las Vegas,Cal Poly
11/13/2015,New Hampshire,Lyndon State
11/13/2015,New Mexico,Texas Southern
11/13/2015,New Mexico State,Houston Baptist
11/13/2015,North Carolina State,William & Mary
11/13/2015,North Carolina-Wilmington,Milligan
11/13/2015,North Dakota,Minnesota-Morris
11/13/2015,North Texas,Jarvis Christian
11/13/2015,Northern Illinois,Cal State Northridge
11/13/2015,Northwestern,Massachusetts-Lowell
11/13/2015,Notre Dame,Saint Francis (PA)
11/13/2015,Oklahoma State,Tennessee-Martin
11/13/2015,Oral Roberts,Missouri State
11/13/2015,Oregon,Jackson State
11/13/2015,Pennsylvania,Robert Morris
11/13/2015,Portland,Oregon Tech
11/13/2015,Purdue,North Carolina A&T
11/13/2015,Rhode Island,American
11/13/2015,Richmond,James Madison
11/13/2015,Rider,Princeton
11/13/2015,Rutgers,Rutgers-Newark
11/13/2015,Saint Joseph's,Drexel
11/13/2015,Saint Mary's (CA),San Francisco State
11/13/2015,Saint Peter's,Brown
11/13/2015,San Diego State,Illinois State
11/13/2015,Santa Clara,Lipscomb
11/13/2015,Savannah State,Florida National University
11/13/2015,Seattle,Arkansas-Pine Bluff
11/13/2015,Seton Hall,Dartmouth
11/13/2015,South Alabama,Auburn Montgomery
11/13/2015,South Dakota State,Chadron State
11/13/2015,South Florida,Troy
11/13/2015,Southern California,San Diego
11/13/2015,Southern Illinois,Air Force
11/13/2015,Southern Illinois-Edwardsville,Arkansas State
11/13/2015,St. Bonaventure,Binghamton
11/13/2015,St. John's (NY),Wagner
11/13/2015,Stanford,Green Bay
11/13/2015,Syracuse,Lehigh
11/13/2015,Tennessee,North Carolina-Asheville
11/13/2015,Texas A&M,South Carolina Upstate
11/13/2015,Texas A&M-Corpus Christi,Our Lady of the Lake
11/13/2015,Texas Christian,Southeastern Louisiana
11/13/2015,Texas Tech,High Point
11/13/2015,Tulane,Alabama A&M
11/13/2015,UCLA,Monmouth
11/13/2015,Utah,Southern Utah
11/13/2015,Valparaiso,IPFW
11/13/2015,Vanderbilt,Austin Peay
11/13/2015,Villanova,Fairleigh Dickinson
11/13/2015,Virginia,Morgan State
11/13/2015,Virginia Commonwealth,Prairie View
11/13/2015,Wake Forest,Maryland-Baltimore County
11/13/2015,Washington State,Northern Arizona
11/13/2015,Weber State,Utah State
11/13/2015,West Virginia,Northern Kentucky
11/13/2015,Wichita State,Charleston Southern
11/13/2015,Wisconsin,Western Illinois
11/13/2015,Wyoming,Bristol University
11/13/2015,Xavier,Miami (OH)
11/13/2015,Nevada,Coastal Carolina
11/13/2015,Milwaukee,Denver
11/13/2015,Iowa State,Colorado
11/13/2015,Old Dominion,Niagara
11/13/2015,Sacred Heart,Quinnipiac
11/13/2015,North Carolina,Temple
11/13/2015,Washington,Texas
11/13/2015,Wright State,South Dakota
11/13/2015,Yale,Fairfield
11/14/2015,Appalachian State,Jacksonville
11/14/2015,Arkansas-Little Rock,Central Baptist
11/14/2015,Boston College,St. Francis (NY)
11/14/2015,Bowling Green State,New Orleans
11/14/2015,Butler,Citadel
11/14/2015,Cal State Bakersfield,San Diego Christian
11/14/2015,UC-Riverside,William Jessup
11/14/2015,Creighton,Texas Southern
11/14/2015,Davidson,Central Florida
11/14/2015,DePaul,Western Michigan
11/14/2015,Duke,Bryant
11/14/2015,East Tennessee State,Averett
11/14/2015,Georgetown,Radford
11/14/2015,Kent State,Youngstown State
11/14/2015,Kentucky,NJIT
11/14/2015,La Salle,Towson
11/14/2015,Liberty,Summit
11/14/2015,Long Beach State,Brigham Young-Hawaii
11/14/2015,Loyola (IL),Eureka
11/14/2015,Massachusetts,Howard
11/14/2015,Memphis,Southern Mississippi
11/14/2015,Nebraska,Mississippi Valley State
11/14/2015,North Carolina-Greensboro,Greensboro
11/14/2015,Northern Illinois,South Dakota
11/14/2015,Northern Iowa,Colorado State
11/14/2015,Ohio,Florida Gulf Coast
11/14/2015,Oregon State,Northwest Christian
11/14/2015,Penn State,Virginia Military Institute
11/14/2015,Providence,Harvard
11/14/2015,San Jose State,Idaho
11/14/2015,Santa Clara,Denver
11/14/2015,South Carolina,Norfolk State
11/14/2015,Southern Methodist,Sam Houston State
11/14/2015,Stony Brook,Merchant Marine Academy
11/14/2015,Tennessee Tech,Piedmont
11/14/2015,Texas-Arlington,Fordham
11/14/2015,Texas-El Paso,Loyola (LA)
11/14/2015,Toledo,West Virginia Tech
11/14/2015,Tulsa,Central Arkansas
11/14/2015,Utah Valley,Great Falls
11/14/2015,Virginia Tech,Alabama State
11/14/2015,Western Kentucky,Campbellsville
11/14/2015,Winthrop,Hampton
11/14/2015,Akron,Cleveland State
11/14/2015,Milwaukee,Lipscomb
11/14/2015,Montana State,Hawaii-Hilo
11/14/2015,Cal State Northridge,Wright State
11/15/2015,Binghamton,Army
11/15/2015,Bucknell,Wake Forest
11/15/2015,UC-Davis,Portland
11/15/2015,UC-Irvine,Loyola Marymount
11/15/2015,Cincinnati,Robert Morris
11/15/2015,Clemson,Texas-San Antonio
11/15/2015,Eastern Washington,George Fox
11/15/2015,Evansville,Southeast Missouri State
11/15/2015,Florida State,Nicholls State
11/15/2015,High Point,North Carolina Wesleyan
11/15/2015,Illinois,North Dakota State
11/15/2015,Iowa,Coppin State
11/15/2015,Jacksonville State,Fort Valley State
11/15/2015,Lafayette,Saint Peter's
11/15/2015,Minnesota,Louisiana-Monroe
11/15/2015,Missouri,Maryland-Eastern Shore
11/15/2015,Missouri-Kansas City,William Jewell
11/15/2015,Nebraska-Omaha,Saint Mary's (MN)
11/15/2015,New Mexico State,New Mexico
11/15/2015,North Carolina,Fairfield
11/15/2015,North Carolina State,South Alabama
11/15/2015,Northern Illinois,Wright State
11/15/2015,Ohio State,Mount St. Mary's
11/15/2015,Pennsylvania,Central Connecticut State
11/15/2015,Purdue,Vermont
11/15/2015,Richmond,Stetson
11/15/2015,Rutgers,Howard
11/15/2015,Saint Joseph's,Niagara
11/15/2015,Saint Louis,Hartford
11/15/2015,Santa Clara,Milwaukee
11/15/2015,Seattle,Sacramento State
11/15/2015,Seton Hall,Wagner
11/15/2015,Southern Illinois,Florida A&M
11/15/2015,Stanford,Charleston Southern
11/15/2015,Troy,Reinhardt
11/15/2015,UCLA,Cal Poly
11/15/2015,Valparaiso,Iona
11/15/2015,Western Carolina,North Carolina-Asheville
11/15/2015,Western Illinois,Hannibal-LaGrange
11/15/2015,Wisconsin,Siena
11/15/2015,Hawaii,Coastal Carolina
11/15/2015,Denver,Lipscomb
11/15/2015,Nevada,Montana State
11/15/2015,South Dakota,Cal State Northridge
11/16/2015,Air Force,Tennessee Tech
11/16/2015,Akron,Hiram
11/16/2015,Alabama-Birmingham,Alabama State
11/16/2015,Arizona,Bradley
11/16/2015,Arizona State,Belmont
11/16/2015,Arkansas State,Lyon
11/16/2015,Ball State,Eastern Illinois
11/16/2015,Boise State,Northern Arizona
11/16/2015,Boston University,Albany (NY)
11/16/2015,Brown,Holy Cross
11/16/2015,University of California,UC-Santa Barbara
11/16/2015,Canisius,Lehigh
11/16/2015,Chattanooga,Hiwassee
11/16/2015,Colgate,Cornell
11/16/2015,Detroit Mercy,Central State (OH)
11/16/2015,Duquesne,New Orleans
11/16/2015,East Carolina,Charlotte
11/16/2015,Fairleigh Dickinson,Fairleigh Dickinson-Florham
11/16/2015,Florida,North Carolina A&T
11/16/2015,Florida Gulf Coast,Texas Wesleyan
11/16/2015,Florida International,Florida Memorial
11/16/2015,Fresno State,Lamar
11/16/2015,George Washington,Virginia
11/16/2015,Georgia Tech,Tennessee
11/16/2015,Hawaii,Nevada
11/16/2015,Hofstra,Molloy
11/16/2015,Houston Baptist,Crowley's Ridge
11/16/2015,Idaho State,Dickinson State (ND)
11/16/2015,Illinois State,Morehead State
11/16/2015,Incarnate Word,Schreiner
11/16/2015,Indiana,Austin Peay
11/16/2015,Indiana State,Wyoming
11/16/2015,Iowa State,Chicago State
11/16/2015,IPFW,Manchester
11/16/2015,Jacksonville State,Oakwood
11/16/2015,Kansas State,Columbia
11/16/2015,Long Beach State,Brigham Young
11/16/2015,Longwood,La Roche
11/16/2015,Louisiana State,Kennesaw State
11/16/2015,Loyola (MD),Long Island University
11/16/2015,Marquette,IUPUI
11/16/2015,Mercer,George Mason
11/16/2015,Miami (FL),Louisiana-Lafayette
11/16/2015,Michigan,Elon
11/16/2015,Mississippi,Georgia Southern
11/16/2015,Mississippi State,Southern
11/16/2015,Navy,College of Charleston
11/16/2015,Nevada-Las Vegas,New Mexico Highlands
11/16/2015,North Carolina Central,Allen
11/16/2015,North Carolina-Wilmington,Eastern Kentucky
11/16/2015,North Florida,Texas-Rio Grande Valley
11/16/2015,North Texas,Texas College
11/16/2015,Northwestern State,Louisiana State-Alexandria
11/16/2015,Ohio,Tennessee State
11/16/2015,Oklahoma State,Arkansas-Pine Bluff
11/16/2015,Old Dominion,Buffalo
11/16/2015,Oregon,Baylor
11/16/2015,Pepperdine,San Diego Christian
11/16/2015,Portland State,Pacific Lutheran
11/16/2015,Presbyterian,South Carolina Upstate
11/16/2015,Saint Mary's (CA),Manhattan
11/16/2015,Samford,Auburn Montgomery
11/16/2015,San Francisco,Rice
11/16/2015,San Jose State,Montana
11/16/2015,Savannah State,Campbell
11/16/2015,South Carolina,Oral Roberts
11/16/2015,South Carolina State,Voorhees
11/16/2015,South Dakota State,Weber State
11/16/2015,South Florida,NJIT
11/16/2015,Southern California,Monmouth
11/16/2015,St. John's (NY),Maryland-Baltimore County
11/16/2015,Tennessee-Martin,Bethune-Cookman
11/16/2015,Texas A&M,Southeastern Louisiana
11/16/2015,Texas State,Texas-Tyler
11/16/2015,Towson,Morgan State
11/16/2015,Tulane,Drake
11/16/2015,Utah,San Diego State
11/16/2015,Vanderbilt,Gardner-Webb
11/16/2015,Virginia Commonwealth,Radford
11/16/2015,Yale,Sacred Heart
11/16/2015,West Virginia,James Madison
11/17/2015,Abilene Christian,Howard Payne
11/17/2015,American,Hampton
11/17/2015,Appalachian State,Furman
11/17/2015,Auburn,Colorado
11/17/2015,Cal State Bakersfield,Idaho
11/17/2015,Central Michigan,Alma
11/17/2015,Citadel,Stetson
11/17/2015,Cleveland State,Malone
11/17/2015,Connecticut,New Hampshire
11/17/2015,Creighton,Texas-San Antonio
11/17/2015,Dayton,Alabama
11/17/2015,Delaware State,Pennsylvania
11/17/2015,East Tennessee State,Green Bay
11/17/2015,Evansville,Marian
11/17/2015,Florida Atlantic,Warner Southern
11/17/2015,Florida State,Jacksonville
11/17/2015,Fordham,Queens (NY)
11/17/2015,Grand Canyon,Black Hills State
11/17/2015,Harvard,Massachusetts
11/17/2015,La Salle,Rider
11/17/2015,Liberty,William & Mary
11/17/2015,Lipscomb,Oakland City
11/17/2015,Louisiana Tech,Texas-Arlington
11/17/2015,Louisville,Hartford
11/17/2015,Marist,Dartmouth
11/17/2015,Maryland,Georgetown
11/17/2015,McNeese State,Louisiana College
11/17/2015,Memphis,Oklahoma
11/17/2015,Miami (OH),Kenyon
11/17/2015,Murray State,Middle Tennessee
11/17/2015,Nebraska-Omaha,Missouri-Kansas City
11/17/2015,Norfolk State,Washington Adventist
11/17/2015,North Carolina-Greensboro,Chowan
11/17/2015,Northeastern,Wentworth
11/17/2015,Northern Colorado,Colorado Christian
11/17/2015,Northern Iowa,Stephen F. Austin
11/17/2015,Northern Kentucky,Tiffin
11/17/2015,Notre Dame,Milwaukee
11/17/2015,Ohio State,Grambling
11/17/2015,Oregon State,Iona
11/17/2015,Pacific,Cal State Fullerton
11/17/2015,Penn State,DePaul
11/17/2015,Pittsburgh,Saint Joseph's (IN)
11/17/2015,Rhode Island,Valparaiso
11/17/2015,Saint Francis (PA),Westminster
11/17/2015,Sam Houston State,St. Thomas (TX)
11/17/2015,Southern Mississippi,Jackson State
11/17/2015,St. Francis (NY),Mount Saint Vincent
11/17/2015,Syracuse,St. Bonaventure
11/17/2015,Tulsa,Wichita State
11/17/2015,Utah State,Adams State
11/17/2015,Villanova,Nebraska
11/17/2015,Virginia Military Institute,Tusculum
11/17/2015,Western Illinois,Illinois-Chicago
11/17/2015,Western Michigan,San Diego
11/17/2015,Winthrop,Truett-McConnell
11/17/2015,Wisconsin,North Dakota
11/17/2015,Xavier,Missouri
11/17/2015,Kentucky,Duke
11/17/2015,Michigan State,Kansas
11/18/2015,Arizona State,Kennesaw State
11/18/2015,Arkansas,Akron
11/18/2015,Arkansas-Little Rock,Centenary (LA)
11/18/2015,Austin Peay,IPFW
11/18/2015,Belmont,Western Kentucky
11/18/2015,Bowling Green State,Cincinnati
11/18/2015,Bryant,Emerson
11/18/2015,Cal Poly,Cal State Monterey Bay
11/18/2015,Cal State Northridge,Vanguard
11/18/2015,UC-Davis,Fresno Pacific
11/18/2015,Central Florida,UC-Irvine
11/18/2015,Charleston Southern,Johnson & Wales (NC)
11/18/2015,Chicago State,Indiana-Northwest
11/18/2015,Coastal Carolina,Grace Bible
11/18/2015,Coppin State,Goldey-Beacom
11/18/2015,Cornell,Binghamton
11/18/2015,Denver,Utah Valley
11/18/2015,Drexel,High Point
11/18/2015,Eastern Washington,Seattle
11/18/2015,Elon,Belmont Abbey
11/18/2015,Fairleigh Dickinson,Army
11/18/2015,Florida A&M,Thomas University
11/18/2015,Gonzaga,Northern Arizona
11/18/2015,Houston,Prairie View
11/18/2015,Maryland-Baltimore County,Loyola (MD)
11/18/2015,Massachusetts-Lowell,Sacred Heart
11/18/2015,Nevada-Las Vegas,Southern Utah
11/18/2015,New Mexico,Loyola (IL)
11/18/2015,New Mexico State,Tennessee Tech
11/18/2015,Niagara,Brown
11/18/2015,North Carolina,Wofford
11/18/2015,North Carolina-Asheville,Mars Hill
11/18/2015,North Carolina A&T,Roanoke
11/18/2015,North Carolina State,IUPUI
11/18/2015,North Dakota State,Valley City State
11/18/2015,North Florida,Edward Waters
11/18/2015,Northwestern,Fairfield
11/18/2015,Oakland,Eastern Michigan
11/18/2015,Old Dominion,Morgan State
11/18/2015,Presbyterian,Toccoa Falls
11/18/2015,Providence,Illinois
11/18/2015,Purdue,Incarnate Word
11/18/2015,Radford,Catawba
11/18/2015,Robert Morris,Bucknell
11/18/2015,Saint Joseph's,Buffalo
11/18/2015,San Diego State,San Diego Christian
11/18/2015,Savannah State,Arkansas State
11/18/2015,Southeastern Louisiana,Mississippi College
11/18/2015,Southern Illinois,Kent State
11/18/2015,Southern Illinois-Edwardsville,Saint Louis
11/18/2015,Tennessee State,Fisk
11/18/2015,Valparaiso,Indiana-Kokomo
11/18/2015,Vermont,Quinnipiac
11/18/2015,Virginia Tech,Jacksonville State
11/18/2015,Wake Forest,Richmond
11/18/2015,Youngstown State,Toledo
11/19/2015,Air Force,Mississippi Valley State
11/19/2015,Alabama A&M,Southeast Missouri State
11/19/2015,Albany (NY),Colgate
11/19/2015,Arizona,Boise State
11/19/2015,Boston College,Central Connecticut State
11/19/2015,UC-Riverside,Santa Clara
11/19/2015,Charlotte,Furman
11/19/2015,Citadel,Mid-Atlantic Christian
11/19/2015,Clemson,Texas Southern
11/19/2015,Colorado State,Loyola Marymount
11/19/2015,Fresno State,San Francisco
11/19/2015,Gardner-Webb,Toccoa Falls
11/19/2015,Georgia State,Emmanuel
11/19/2015,Georgia Tech,Green Bay
11/19/2015,Grand Canyon,Alcorn State
11/19/2015,Holy Cross,New Hampshire
11/19/2015,Illinois State,South Dakota State
11/19/2015,Indiana,Creighton
11/19/2015,Lehigh,Yale
11/19/2015,Long Island University,Maine
11/19/2015,Louisiana State,South Alabama
11/19/2015,Marquette,Iowa
11/19/2015,Massachusetts,Central Arkansas
11/19/2015,Memphis,Grambling
11/19/2015,Mercer,Alabama State
11/19/2015,Nebraska,Delaware State
11/19/2015,New Orleans,Pensacola Christian
11/19/2015,Nicholls State,Mobile
11/19/2015,NJIT,Boston University
11/19/2015,Northwestern State,Louisiana-Monroe
11/19/2015,Rice,Oregon State
11/19/2015,Saint Peter's,Hartford
11/19/2015,South Carolina Upstate,Navy
11/19/2015,South Florida,George Washington
11/19/2015,Southern,Tulane
11/19/2015,St. John's (NY),Rutgers
11/19/2015,Stanford,Southern Methodist
11/19/2015,Tennessee,Marshall
11/19/2015,Texas A&M,Texas A&M-Corpus Christi
11/19/2015,Texas Christian,Houston Baptist
11/19/2015,Troy,Alabama-Birmingham
11/19/2015,UCLA,Pepperdine
11/19/2015,Valparaiso,Trinity Christian
11/19/2015,Vanderbilt,Stony Brook
11/19/2015,Washington,Mount St. Mary's
11/19/2015,Weber State,Antelope Valley
11/19/2015,William & Mary,Washington Adventist
11/19/2015,Wyoming,New Mexico Highlands
11/19/2015,Virginia,Bradley
11/19/2015,George Mason,Mississippi
11/19/2015,Temple,Minnesota
11/19/2015,Miami (FL),Mississippi State
11/19/2015,Butler,Missouri State
11/19/2015,Long Beach State,Seton Hall
11/19/2015,Utah,Texas Tech
11/19/2015,Oklahoma State,Towson
11/20/2015,Alabama,Louisiana-Lafayette
11/20/2015,Arkansas,Charleston Southern
11/20/2015,Auburn,Georgia Southern
11/20/2015,Baylor,Jackson State
11/20/2015,Brigham Young,Adams State
11/20/2015,Bryant,Prairie View
11/20/2015,Cal State Bakersfield,Fresno Pacific
11/20/2015,University of California,East Carolina
11/20/2015,Colorado,Portland
11/20/2015,Eastern Kentucky,Ball State
11/20/2015,Eastern Michigan,Siena Heights
11/20/2015,Georgia,Murray State
11/20/2015,Hampton,Appalachian State
11/20/2015,Howard,Medgar Evers
11/20/2015,Iona,Delaware
11/20/2015,Jacksonville,Florida College
11/20/2015,James Madison,Florida International
11/20/2015,Kansas State,South Dakota
11/20/2015,Kentucky,Wright State
11/20/2015,Maryland,Rider
11/20/2015,Miami (OH),Lipscomb
11/20/2015,Michigan,Xavier
11/20/2015,Michigan State,Arkansas-Pine Bluff
11/20/2015,Milwaukee,Trinity International (IL)
11/20/2015,Montana State,San Jose State
11/20/2015,Northern Arizona,Embry-Riddle Aeronautical University
11/20/2015,Northwestern,Columbia
11/20/2015,Ohio State,Texas-Arlington
11/20/2015,Oklahoma,McNeese State
11/20/2015,Oregon,Savannah State
11/20/2015,Pittsburgh,Detroit Mercy
11/20/2015,Sacramento State,Holy Names
11/20/2015,Texas-Rio Grande Valley,Texas A&M-Kingsville
11/20/2015,Utah State,Union (TN)
11/20/2015,Utah Valley,Antelope Valley
11/20/2015,Villanova,East Tennessee State
11/20/2015,Washington State,Idaho State
11/20/2015,West Virginia,Stetson
11/20/2015,Winthrop,Jacksonville State
11/20/2015,Seton Hall,Bradley
11/20/2015,Butler,Temple
11/20/2015,Duquesne,Penn State
11/20/2015,Northeastern,Florida Atlantic
11/20/2015,Hofstra,Florida State
11/20/2015,Georgetown,Wisconsin
11/20/2015,South Carolina State,Longwood
11/20/2015,Minnesota,Missouri State
11/20/2015,Indiana State,Norfolk State
11/20/2015,George Mason,Oklahoma State
11/20/2015,Siena,Radford
11/20/2015,South Carolina,DePaul
11/20/2015,Oral Roberts,Tennessee-Martin
11/20/2015,Texas Tech,Mississippi State
11/20/2015,Mississippi,Towson
11/20/2015,Tulsa,Ohio
11/20/2015,Miami (FL),Utah
11/20/2015,Virginia,Long Beach State
11/20/2015,Duke,Virginia Commonwealth
11/21/2015,Alabama A&M,Oakwood
11/21/2015,Albany (NY),SUNY-Oneonta
11/21/2015,Bryant,Siena
11/21/2015,Cal State Fullerton,San Diego
11/21/2015,UC-Santa Barbara,Oregon State
11/21/2015,Campbell,Morgan State
11/21/2015,Canisius,Cornell
11/21/2015,Central Florida,North Carolina-Greensboro
11/21/2015,Chicago State,Trinity International (IL)
11/21/2015,Coastal Carolina,Piedmont
11/21/2015,Connecticut,Furman
11/21/2015,Davidson,College of Charleston
11/21/2015,Dayton,William & Mary
11/21/2015,Delaware State,Lamar
11/21/2015,Drake,Missouri-Kansas City
11/21/2015,Drexel,Monmouth
11/21/2015,Eastern Illinois,Western Illinois
11/21/2015,Eastern Kentucky,South Carolina State
11/21/2015,Evansville,Belmont
11/21/2015,Fairfield,Sacred Heart
11/21/2015,Florida Gulf Coast,Youngstown State
11/21/2015,Fordham,Fairleigh Dickinson
11/21/2015,Gonzaga,Mount St. Mary's
11/21/2015,Grambling,Louisiana Tech
11/21/2015,High Point,Western Carolina
11/21/2015,Houston,Florida A&M
11/21/2015,Idaho,Linfield
11/21/2015,Illinois State,Houston Baptist
11/21/2015,IPFW,Southern Illinois-Edwardsville
11/21/2015,IUPUI,Kentucky State
11/21/2015,James Madison,Oral Roberts
11/21/2015,Kent State,Marist
11/21/2015,Liberty,Central Pennsylvania College
11/21/2015,Louisville,North Florida
11/21/2015,Loyola (IL),Toledo
11/21/2015,Manhattan,Bucknell
11/21/2015,Miami (OH),Florida Atlantic
11/21/2015,Montana,Carroll
11/21/2015,New Mexico State,Mississippi Valley State
11/21/2015,NJIT,Lafayette
11/21/2015,North Carolina-Wilmington,Western Michigan
11/21/2015,Northern Colorado,Maryland-Baltimore County
11/21/2015,Northern Illinois,Eureka
11/21/2015,Northern Iowa,North Carolina
11/21/2015,Northern Kentucky,Morehead State
11/21/2015,Notre Dame,Massachusetts-Lowell
11/21/2015,Pacific,Nevada
11/21/2015,Presbyterian,Citadel
11/21/2015,Princeton,Saint Peter's
11/21/2015,Providence,Brown
11/21/2015,Rhode Island,Cleveland State
11/21/2015,Richmond,Bethune-Cookman
11/21/2015,Rutgers,Central Arkansas
11/21/2015,Saint Francis (PA),American
11/21/2015,Saint Louis,St. Francis (NY)
11/21/2015,Sam Houston State,Southern Illinois
11/21/2015,Samford,Kennesaw State
11/21/2015,San Diego State,Arkansas-Little Rock
11/21/2015,San Francisco,UC-Riverside
11/21/2015,South Carolina Upstate,Bob Jones University
11/21/2015,South Florida,Boston University
11/21/2015,Southern California,New Mexico
11/21/2015,Southern Utah,Texas-San Antonio
11/21/2015,St. Bonaventure,Loyola (MD)
11/21/2015,Syracuse,Elon
11/21/2015,Tennessee State,Middle Tennessee
11/21/2015,Texas,Texas A&M-Corpus Christi
11/21/2015,Texas A&M,North Carolina-Asheville
11/21/2015,Texas Christian,South Dakota State
11/21/2015,Texas-El Paso,Texas State
11/21/2015,Virginia Tech,Virginia Military Institute
11/21/2015,Wagner,Maine
11/21/2015,Washington,Pennsylvania
11/21/2015,Western Kentucky,Stony Brook
11/21/2015,Wichita State,Emporia State
11/21/2015,Wofford,Maryland-Eastern Shore
11/21/2015,Ball State,Longwood
11/21/2015,Cal Poly,Austin Peay
11/21/2015,Florida State,DePaul
11/21/2015,Florida International,Tennessee-Martin
11/21/2015,Chattanooga,Illinois
11/21/2015,Northeastern,Lipscomb
11/21/2015,Ohio,Norfolk State
11/21/2015,Buffalo,North Carolina A&T
11/21/2015,North Dakota,Bowling Green State
11/21/2015,Purdue,Old Dominion
11/21/2015,Radford,Prairie View
11/21/2015,Florida,Saint Joseph's
11/21/2015,Vermont,Niagara
11/22/2015,Air Force,Robert Morris
11/22/2015,Alabama-Birmingham,Jacksonville State
11/22/2015,Arizona,Northwestern State
11/22/2015,Arkansas State,Jackson State
11/22/2015,Boston College,Harvard
11/22/2015,Cincinnati,Arkansas-Pine Bluff
11/22/2015,Colorado,Nebraska-Omaha
11/22/2015,Colorado State,Oakland
11/22/2015,Columbia,Lehigh
11/22/2015,Eastern Kentucky,Longwood
11/22/2015,Florida Gulf Coast,North Dakota
11/22/2015,George Washington,Army
11/22/2015,Georgia Tech,East Tennessee State
11/22/2015,Green Bay,Minnesota-Duluth
11/22/2015,Hawaii,Nicholls State
11/22/2015,James Madison,Tennessee-Martin
11/22/2015,Long Island University,North Carolina Central
11/22/2015,Loyola Marymount,Antelope Valley
11/22/2015,Miami (OH),Northeastern
11/22/2015,Navy,Goucher
11/22/2015,Nebraska,Southeastern Louisiana
11/22/2015,Northern Colorado,Austin Peay
11/22/2015,Oregon,Valparaiso
11/22/2015,Portland,Abilene Christian
11/22/2015,Quinnipiac,Holy Cross
11/22/2015,Rice,Fresno State
11/22/2015,Saint Mary's (CA),Stanford
11/22/2015,Southern Methodist,Yale
11/22/2015,Stephen F. Austin,Louisiana State-Shreveport
11/22/2015,Tennessee,Gardner-Webb
11/22/2015,Texas-El Paso,Alcorn State
11/22/2015,Texas-Rio Grande Valley,Portland State
11/22/2015,Tulane,Appalachian State
11/22/2015,Villanova,Akron
